date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:21:04	289978/289978	--FM--	200	added ('OK')	text/html		file:///C:/Users/e7275/Downloads/mercadolivrepagamentos.html	C:/Meus%20Sites/22222/file/C_/Users/e7275/Downloads/mercadolivrepagamentos.html	(from )
23:21:04	4632/4632	---M--	200	added ('OK')	image/png	etag:%221218-gcN39pLjOXeHjVJ9k8eHGLaQHzw%22	https://http2.mlstatic.com/frontend-assets/ml-web-navigation/ui-navigation/5.21.22/mercadolibre/180x180.png	C:/Meus%20Sites/22222/http2.mlstatic.com/frontend-assets/ml-web-navigation/ui-navigation/5.21.22/mercadolibre/180x180.png	(from )
23:21:04	43076/43076	---M-Z	200	added ('OK')	text/css	etag:W/%2287ae9d8bc948ba424c91aa2500a7d851%22	https://http2.mlstatic.com/frontend-assets/ml-web-navigation/ui-navigation/6.6.73/mercadolibre/navigation-desktop.css	C:/Meus%20Sites/22222/http2.mlstatic.com/frontend-assets/ml-web-navigation/ui-navigation/6.6.73/mercadolibre/navigation-desktop.css	(from )
23:21:04	25868/25868	---M-Z	200	added ('OK')	text/css	etag:W/%22999fdc7dfc1554d692c17b198e841bfa%22	https://http2.mlstatic.com/frontend-assets/ml-web-navigation/widgets/6.6.74/modeless-box.css	C:/Meus%20Sites/22222/http2.mlstatic.com/frontend-assets/ml-web-navigation/widgets/6.6.74/modeless-box.css	(from )
23:21:05	494511/494511	---MCZ	200	added ('OK')	text/css	etag:W/%2266fb8cb035e6527b7744956935323aee%22	https://http2.mlstatic.com/frontend-assets/buyingflow-frontend-core/app.7855444a.css	C:/Meus%20Sites/22222/http2.mlstatic.com/frontend-assets/buyingflow-frontend-core/app.7855444a.css	(from )
23:21:05	49324/49324	---M-Z	200	added ('OK')	text/css	etag:W/%2254ee0b5bcda5ed0db01ca60748c701fe%22	https://http2.mlstatic.com/frontend-assets/buyingflow-frontend-core/payment-card-component-mlb.50b76b25.css	C:/Meus%20Sites/22222/http2.mlstatic.com/frontend-assets/buyingflow-frontend-core/payment-card-component-mlb.50b76b25.css	(from )
23:21:05	219620/219620	---M-Z	200	added ('OK')	application/javascript	etag:W/%22e44705203d2bf941820f4ec3c537bfcd%22	https://http2.mlstatic.com/frontend-assets/perfill-agent/3.12.3/perfill-agent.min.js	C:/Meus%20Sites/22222/http2.mlstatic.com/frontend-assets/perfill-agent/3.12.3/perfill-agent.min.js	(from )
23:21:06	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2004%20Oct%202024%2002:21:05%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Meus%20Sites/22222/www.googletagmanager.com/gtm.65445.delayed	(from )
23:21:06	19282/19282	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%22fd4abc4cbee9a59361fbaacd1c10257b%22	https://http2.mlstatic.com/frontend-assets/ml-web-navigation/ui-navigation/6.6.73/mercadolibre/navigation.eot	C:/Meus%20Sites/22222/http2.mlstatic.com/frontend-assets/ml-web-navigation/ui-navigation/6.6.73/mercadolibre/navigation.eot	(from https://http2.mlstatic.com/frontend-assets/ml-web-navigation/ui-navigation/6.6.73/mercadolibre/navigation-desktop.css)
23:21:06	11532/11532	---M-Z	200	added ('OK')	font/woff2	etag:%221d537b780da9e43764405bd9a8a4924d%22	https://http2.mlstatic.com/frontend-assets/ml-web-navigation/ui-navigation/6.6.73/mercadolibre/navigation.woff2	C:/Meus%20Sites/22222/http2.mlstatic.com/frontend-assets/ml-web-navigation/ui-navigation/6.6.73/mercadolibre/navigation.woff2	(from https://http2.mlstatic.com/frontend-assets/ml-web-navigation/ui-navigation/6.6.73/mercadolibre/navigation-desktop.css)
